Date;AAPL;MSFT;GOOG
2023-06-14;181.9200592;331.6296387;123.5346222
2023-06-15;183.9572906;342.20755;124.9350281
2023-06-16;182.8793335;336.5351257;123.2167969
2023-06-20;182.968338;332.3276367;123.0082245
2023-06-21;181.9299316;327.9136353;120.4358292
2023-06-22;184.9363708;333.9595337;123.0280914
2023-06-23;184.6199036;329.348938;122.1838684
2023-06-26;183.2254639;323.0375671;118.280571
2023-06-27;185.9846649;328.9064941;118.2011108
2023-06-28;187.1615448;330.164856;120.2570496
2023-06-29;187.4977722;329.3783875;119.1943207
2023-06-30;191.8294373;334.7755127;120.1477966
2023-07-03;190.3361359;332.2686462;119.7405777
2023-07-05;189.2185822;332.4259338;121.7965164
2023-07-06;189.6933136;335.493103;120.1080704
2023-07-07;188.5757751;331.5116882;119.3234329
2023-07-10;186.5286255;326.2129211;116.0756683
2023-07-11;186.0044861;326.842041;116.9099503
2023-07-12;187.675827;331.4920044;118.8069687
2023-07-13;188.4373169;336.8595886;123.9815521
2023-07-14;188.5856628;339.3959045;124.8456421
2023-07-17;191.8492432;339.8776245;124.2099991
2023-07-18;191.5920868;353.4046631;123.2366638
2023-07-19;192.9469757;349.0693359;121.945488
2023-07-20;190.9987183;340.9983521;118.7175827
2023-07-21;189.8218842;337.9507751;119.4922867
2023-07-24;190.6229401;339.2680664;121.0516129
2023-07-25;191.4833221;345.0387573;121.9554291
2023-07-26;192.3536072;332.0523682;128.7787323
2023-07-27;191.0877533;325.1217041;128.9872894
2023-07-28;193.6689453;332.6422119;132.1059723
2023-07-31;194.2820892;330.2336731;132.2052765
2023-08-01;193.451355;330.6466064;130.993576
2023-08-02;190.4548187;321.9562378;127.7656631
2023-08-03;189.060379;321.1303711;127.8947906
2023-08-04;179.9816589;322.2314758;127.6663361
2023-08-07;176.8763123;324.5220337;131.0432587
2023-08-08;177.8158264;320.5307617;130.9439087
2023-08-09;176.2236176;316.7754517;129.2653961
2023-08-10;176.0060272;317.463562;129.3249969
2023-08-11;176.0654449;315.5760498;129.2852631
2023-08-14;177.7192688;318.5547791;130.9339905
2023-08-15;175.7287445;316.4117126;129.3845978
2023-08-16;174.8572845;315.6432495;128.2324677
2023-08-17;172.3122101;312.1755066;129.5733032
2023-08-18;172.7974854;311.7814941;127.2392807
2023-08-21;174.1343536;317.1013184;128.0536804
2023-08-22;175.5108795;317.6726685;128.8085327
2023-08-23;179.3631439;322.1452942;132.3046265
2023-08-24;174.6691589;315.2196655;129.5335693
2023-08-25;176.8775024;318.1849976;129.8017426
2023-08-28;178.4421692;318.8943176;130.8942566
2023-08-29;182.3340607;323.5343933;134.5691223
2023-08-30;185.8298035;323.9087524;135.9993286
2023-08-31;186.0476532;322.8939819;136.4164734
2023-09-01;187.6222687;323.7806702;135.8702087
2023-09-05;187.8599091;328.5980225;135.7808075
2023-09-06;181.135788;327.9380188;134.4499207
2023-09-07;175.837677;325.012146;135.2742767
2023-09-08;176.4516602;329.3073425;136.2674866
2023-09-11;177.6202393;332.9229126;136.8038177
2023-09-12;174.58992;326.8444824;135.1451874
2023-09-13;172.5201721;331.0708313;136.5654449
2023-09-14;174.0353394;333.6715698;138.0453186
2023-09-15;173.3124084;325.3174438;137.3600159
2023-09-18;176.2436981;324.1747131;138.0155334
2023-09-19;177.3330536;323.770752;137.8863983
2023-09-20;173.7877808;316.007782;133.6752167
2023-09-21;172.2428589;314.7861938;130.4671783
2023-09-22;173.0945282;312.3035889;130.3579254
2023-09-25;174.3720245;312.8257446;131.2716675
2023-09-26;170.2920227;307.5059204;128.5701599
2023-09-27;168.776825;308.1462402;130.5665131
2023-09-28;169.0343323;308.9837036;132.2251587
2023-09-29;169.5492706;311.0623169;130.9538727
2023-10-02;172.0646362;317.0224609;134.2512665
